Source title,CiteScore,Highest percentile,2021-24 Citations,2021-24 Documents,% Cited,SNIP,SJR,Publisher
Sustainable Energy and Fuels,8.8,"81.0%
56/299
Energy Engineering and Power Technology",16443.0,1864.0,82.0,0.79,1.019,Royal Society of Chemistry
Journal of Physical Chemistry Letters,8.7,"83.0%
31/187
Physical and Theoretical Chemistry",54718.0,6309.0,84.0,1.033,1.394,American Chemical Society
Molecules,8.6,"87.0%
26/212
Cognitive Neuroscience",32487.0,3790.0,85.0,1.092,1.479,Frontiers Media S.A.
Materials Chemistry and Physics,8.5,"88.0%
52/443
Condensed Matter Physics",48972.0,5764.0,87.0,1.007,0.808,Elsevier
Dyes and Pigments,8.5,"83.0%
47/274
General Chemical Engineering",27549.0,3230.0,89.0,0.825,0.68,Elsevier
Surfaces and Interfaces,8.5,"82.0%
24/132
Surfaces, Coatings and Films",36653.0,4301.0,78.0,1.185,1.036,Elsevier
Materials Science in Semiconductor Processing,8.4,"88.0%
53/443
Condensed Matter Physics",24575.0,2910.0,86.0,1.086,0.785,Elsevier
Frontiers in Chemistry,8.4,"82.0%
72/404
General Chemistry",32976.0,3905.0,85.0,0.894,0.83,Frontiers Media S.A.
Optik,8.3,"85.0%
140/970
Electrical and Electronic Engineering",42215.0,5073.0,87.0,0.924,0.505,Elsevier
Materials Characterization,8.2,"87.0%
58/443
Condensed Matter Physics",27969.0,3402.0,83.0,1.482,1.338,Elsevier
Journal of Electroanalytical Chemistry,8.1,"81.0%
50/274
General Chemical Engineering",25927.0,3195.0,86.0,0.729,0.76,Elsevier
Journal of Molecular Structure,8.0,"84.0%
34/212
Organic Chemistry",73958.0,9232.0,86.0,0.999,0.628,Elsevier
Chemical Engineering Science,7.9,"83.0%
65/402
Industrial and Manufacturing Engineering",31158.0,3968.0,86.0,1.166,0.84,Elsevier
Journal of King Saud University - Science,7.9,"91.0%
17/200
",15689.0,1985.0,76.0,1.181,0.662,Scientific Scholar
Polymer,7.7,"82.0%
37/212
Organic Chemistry",28405.0,3689.0,82.0,1.02,0.843,Elsevier
Silicon,7.7,"81.0%
56/305
Electronic, Optical and Magnetic Materials",20938.0,2708.0,85.0,1.07,0.553,Springer Nature
RSC Advances,7.6,"79.0%
82/404
General Chemistry",103335.0,13541.0,82.0,0.964,0.777,Royal Society of Chemistry
IEEE Electron Device Letters,7.6,"83.0%
160/970
Electrical and Electronic Engineering",15412.0,2018.0,79.0,1.578,1.15,IEEE
Materials Science and Engineering: B,7.5,"84.0%
69/443
Condensed Matter Physics",18696.0,2501.0,84.0,1.015,0.778,Elsevier
ACS Applied Electronic Materials,7.4,"79.0%
63/305
Electronic, Optical and Magnetic Materials",20285.0,2743.0,79.0,1.007,1.045,American Chemical Society
Inorganic Chemistry,7.4,"77.0%
19/81
Inorganic Chemistry",64180.0,8703.0,82.0,0.938,0.958,American Chemical Society
Chemical Communications,7.4,"82.0%
31/175
Metals and Alloys",74804.0,10099.0,80.0,0.781,1.037,Royal Society of Chemistry
Results in Engineering,7.3,"86.0%
46/344
Aerospace Engineering",17876.0,2457.0,83.0,1.806,1.277,Elsevier
Energies,7.3,"90.0%
15/160
Physiology (medical)",54979.0,7490.0,86.0,1.089,1.023,Frontiers Media S.A.
Physical Review Applied,7.2,"84.0%
38/246
General Physics and Astronomy",26315.0,3632.0,80.0,1.199,1.288,American Physical Society
Journal of the American Ceramic Society,7.2,"74.0%
82/324
Materials Chemistry",18653.0,2583.0,86.0,1.094,0.811,John Wiley & Sons
ACS Omega,7.1,"77.0%
92/404
General Chemistry",112414.0,15934.0,81.0,1.01,0.773,American Chemical Society
Journal of Luminescence,7.0,"83.0%
75/443
Condensed Matter Physics",19158.0,2745.0,88.0,0.886,0.585,Elsevier
Vacuum,7.0,"84.0%
27/174
Instrumentation",23717.0,3410.0,83.0,1.154,0.783,Elsevier
ACS Applied Polymer Materials,6.9,"78.0%
46/212
Organic Chemistry",27227.0,3973.0,78.0,0.908,0.981,American Chemical Society
iScience,6.9,"89.0%
21/200
",63057.0,9105.0,77.0,1.0,1.363,Elsevier
Optical Materials,6.8,"80.0%
194/970
Electrical and Electronic Engineering",36169.0,5357.0,80.0,0.953,0.699,Elsevier
Physical Review Research,6.8,"82.0%
43/246
General Physics and Astronomy",34927.0,5137.0,79.0,1.169,1.593,American Physical Society
Journal of Solid State Chemistry,6.8,"81.0%
82/443
Condensed Matter Physics",18495.0,2720.0,84.0,0.702,0.629,Elsevier
Polymer Bulletin,6.7,"80.0%
86/443
Condensed Matter Physics",15806.0,2364.0,81.0,0.952,0.658,Springer Nature
Industrial and Engineering Chemistry Research,6.7,"80.0%
79/402
Industrial and Manufacturing Engineering",43891.0,6591.0,79.0,0.931,0.828,American Chemical Society
Inorganic Chemistry Communications,6.7,"72.0%
52/187
Physical and Theoretical Chemistry",31521.0,4677.0,79.0,0.885,0.758,Elsevier
Scientific Reports,6.7,"89.0%
22/200
",658772.0,98257.0,75.0,1.213,0.874,Springer Nature
Arabian Journal for Science and Engineering,6.5,"88.0%
23/200
",25733.0,3986.0,83.0,1.003,0.521,Springer Nature
Journal of Physics D: Applied Physics,6.4,"87.0%
7/51
Acoustics and Ultrasonics",25554.0,4004.0,81.0,0.974,0.65,Institute of Physics Publishing
